Date,Client,Mission Reference,Prix Client,Prix Driver,Adresse de départ,Adresse d'arrivée,Retard driver,Driver login,mission Status,Distance total,Durée de la mission,Rating Client
2023-04-17,Company G,SJf6HPK,685,390,"Rue du Bois Barbier, 60880 Le Meux, France","9 Rue Maurice Trintignant, Le Mans, France","2,449",test_5@test.com,FINISHED,"1,186","2,995",2
2023-04-17,Company G,WGAkGgl,465,598,"Rue Santos Dumont, 44860 Saint-Aignan-Grandlieu, France","17 Rue Fernand Bessy, 83120 Sainte-Maxime, France",457,test_3@test.com,FINISHED,"2,066","1,275",
2023-04-17,Company H,7qwwH0r,393,250,"8 Cours Louis Lumière, Vincennes, France","62 Cours Albert Thomas, Lyon, France",-333,test_1@test.com,FINISHED,972,290,
2023-04-17,Company H,Bb1lY4U,175,120,"23 Rue Delarivière-Lefoullon, Puteaux, France","Avenue des Montoires, 45500 Gien, France",-231,test_5@test.com,FINISHED,320,134,2
2023-04-17,Company H,ZPGE0Qp,326,250,"100 Chemin des Pailles, Lorgues, France","39 Rue Docteur Albéric Pont, Lyon, France",-221,test_4@test.com,FINISHED,772,14,
2023-04-17,Company H,dtOtz9c,175,143.42,"65 Avenue Jean Mermoz, Auxerre, France","14 Rue Montalivet, Paris, France",-28,test_3@test.com,FINISHED,380,141,
2023-04-17,Company H,FZeiDTY,175,115,"14 Rte de Dhuizon, 41250 Neuvy, France","252 Rue de Rosny, Montreuil, France",-211,test_2@test.com,FINISHED,362,213,5
2023-04-17,Company I,boOqhy0,352,219,"20 Rue Louise de Vilmorin, 91630 Avrainville, France","4 Rue des Douelles, Bouaye, France",-131,test_2@test.com,FINISHED,810,279,5
2023-04-17,Company I,zJZCvsn,334,295.02,"14 Rte de Dhuizon, 41250 Neuvy, France","61 Rue Jean Briaud, Mérignac, France",-109,test_1@test.com,FINISHED,872,317,
2023-04-17,Company I,jZc7Qg3,20,15,"170 Rue de l'Étang, 69760 Limonest, France","44 Avenue de Lanessan, Champagne-au-Mont-d'Or, France",-247,test_3@test.com,FINISHED,6,21,
2023-04-17,Company J,zaVkptp,20,15,"44 Avenue de Lanessan, Champagne-au-Mont-d'Or, France","170 Rue de l'Étang, 69760 Limonest, France",-151,test_3@test.com,FINISHED,6,22,
2023-04-17,Company J,Cik6qQQ,429,156,"7 Chemin de Bretagne, Issy-les-Moulineaux, France","2 Rue de Lalande, Bordeaux, France",-191,test_1@test.com,FINISHED,"1,18",520,
2023-04-17,Company K,v2Zigne,438,335,"27 Rue Principale, Bistroff, France","4 Rue Gaston Monmousseau, Échirolles, France",-767,test_1@test.com,FINISHED,"1,096",927,
2023-04-17,Company K,MtxZ01m,115.77,106.12,"8 Rue Jean Perrin, Luisant, France","1598 Rte de Quarante Sous, 78630 Orgeval, France",-60,test_2@test.com,CANCELLED,190,127,5
2023-04-18,Company L - M,Gv7DwJc,84,47,139 Avenue Felix Faure 69003  Lyon,"7 Rue des Frères Salvez, 01500 Ambérieu-en-Bugey, France",-145,test_4@test.com,FINISHED,112,74,
2023-04-18,Company A,LbD25Ep,175,120,"Route de Picardie, 60190 Avrigny, France","7 rue eugene bourgoin,  reims, France",23,test_4@test.com,FINISHED,234,121,
2023-04-18,Company A,56SoJea,22.5,22,"39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France","24 Rue Jacques Dulud, Neuilly-sur-Seine, France",-215,test_3@test.com,FINISHED,68,53,
2023-04-18,Company C,D3Etpn0,22.5,20,"92 Boulevard de Courcelles, Paris, France","93 Avenue Emile Zola, 75015 Paris, France",-57,test_1@test.com,FINISHED,10,40,
2023-04-18,Company C,Dr36fua,33.3,28,"74, route de la Reine 92100 Boulogne","120 Avenue Saint-Exupéry, Antony, France",-231,test_1@test.com,FINISHED,36,50,
2023-04-18,Company B,FgIfjtL,30,25,"3 Boulevard Gallieni, Issy-les-Moulineaux, France","74, route de la Reine 92100 Boulogne",-158,test_2@test.com,FINISHED,6,21,5
2023-04-18,Company B,290K7Az,38,24,"30 Rue de Paris, 93130 Noisy-le-Sec, France","3 Avenue Blanche, Villemomble, France",-99,test_5@test.com,FINISHED,16,44,2
2023-04-18,Company F,EMpZzzA,44,30,"30 Rue de Paris, 93130 Noisy-le-Sec, France","64 Rue des Vanesses, Villepinte, France",-124,test_4@test.com,FINISHED,28,40,
2023-04-18,Company F,HudL1Xb,38,24,"3 Avenue Blanche, Villemomble, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-163,test_1@test.com,FINISHED,20,40,
2023-04-18,Company F,NeLQL4v,NULL,30,"64 Rue des Vanesses, Villepinte, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-127,test_2@test.com,FINISHED,28,41,5
2023-04-18,Company F,GVvKwoM,22.5,20,"4 Cours de l'Île Seguin, Boulogne-Billancourt, France","15-17 Rue Barbès, 92120 Montrouge, France",-90,test_1@test.com,FINISHED,18,58,
2023-04-18,Company E,IQuWqjO,22.5,20,"43 Rue Servan, Paris, France","15-17 Rue Barbès, 92120 Montrouge, France",-151,test_1@test.com,FINISHED,22,61,
2023-04-18,Company E,gQqiKmh,70,48,"10 Av. de Saint-Germain, 78560 Le Port-Marly, France","29 Rue Pierre Lamandé, Houilles, France",-88,test_3@test.com,CANCELLED,26,202,
2023-04-18,Company E,UzQf4q2,51,45,"280 Avenue de Colmar, Strasbourg, France","4 Place Adrien Zeller, Strasbourg, France",-451,test_4@test.com,FINISHED,20,38,
2023-04-18,Company E,jytAJHR,51,45,"4 Place Adrien Zeller, Strasbourg, France","280 Avenue de Colmar, Strasbourg, France",-205,test_4@test.com,FINISHED,20,44,
2023-04-18,Company E,otzReA8,449,355.09,"2 Rue Lisbonne, Agen, France","15 Avenue du Centre, Guyancourt, France",-407,test_5@test.com,FINISHED,"1,22",512,2
2023-04-18,Company G,lB0uD1Z,51,100,"Rue de la Pierre Percée, Montoir-de-Bretagne, Pays de la Loire, 44550, France","1 Rue Thomas Edison, Saint-Nazaire, Pays de la Loire, 44600, France",-419,test_2@test.com,FINISHED,28,39,5
2023-04-18,Company G,tDQIIbT,199,195.82,"Rue de Gautray, Saint-Cyr-en-Val, France","Rue du Bois Barbier, 60880 Le Meux, France",-437,test_1@test.com,FINISHED,436,248,
2023-04-18,Company G,B06IoMI,80,40,"135 Rue de Paris, Saint-Ouen-l'Aumône, France","26 Allée des Frères Voisin, Paris, France",-150,test_2@test.com,FINISHED,86,69,5
2023-04-18,Company G,mCh4WYb,334,168,"4 Rue du Château de l'Éraudière, Nantes, France","20 Avenue André Prothin, Courbevoie, France",-410,test_3@test.com,FINISHED,896,"1,098",
2023-04-18,Company H,fqg6cme,64.77,88.32,"11 Rue des Sablons, 75116 Paris, France","61 Rue Henri Regnault, Courbevoie, France",1,test_5@test.com,FINISHED,12,42,2
2023-04-19,Company H,1A6glcU,281,165,"SOMEDAT STVA, QUARTIER DU PARC DE L'ARTILLERIE, MIRAMAS, 13140, FRA","1094 Route Jean Natale, Carros, France",-217,test_2@test.com,FINISHED,544,224,5
2023-04-19,Company H,5N8Jk93,106,22,1 rue de l'ile de France 94460 Valenton,17 rue jouffroy d'abbans 75017  paris,-280,test_1@test.com,FINISHED,42,99,
2023-04-19,Company H,EGReGAH,132,60,"7 Rue des Frères Salvez, 01500 Ambérieu-en-Bugey, France",3 rue des vergers 69760  limonest,-179,test_5@test.com,FINISHED,52,72,2
2023-04-19,Company H,LXnWSmo,344,228,1 rue de l'ile de France 94460 Valenton,"20 rue du bourg nouveau,  rennes, France",30,test_3@test.com,FINISHED,732,227,
2023-04-19,Company I,35BVUPp,28,20,"3 Place de l'Europe, Vélizy-Villacoublay, France","105, Bd Gabriel Péri 92240 Malakoff",-138,test_2@test.com,FINISHED,30,59,
2023-04-19,Company I,Eo8z29g,30,23,"25 Avenue du Docteur Lannelongue, Montrouge, France","105, Bd Gabriel Péri 92240 Malakoff",-137,test_3@test.com,FINISHED,6,32,
2023-04-19,Company I,Q7EvquM,30,23,"74, route de la Reine 92100 Boulogne","174 Rue des Vignes, 92000 Nanterre, France",-145,test_3@test.com,FINISHED,20,46,
2023-04-19,Company A,DDzWIIs,22.5,21,"142 Boulevard de la Villette, Paris, France","39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France",-169,test_5@test.com,FINISHED,56,73,2
2023-04-19,Company A,JFJs9WP,0,0,"93 Avenue Emile Zola, 75015 Paris, France","2 Rue Corot, Paris, France",-141,test_4@test.com,CANCELLED,4,123,
2023-04-19,Company A,58UQduJ,22.5,20,"6 Rue Fructidor, Saint-Ouen-sur-Seine, France","11 Rue des Sablons, 75116 Paris, France",2,test_3@test.com,FINISHED,14,34,
2023-04-19,Company B,L74MYz1,22.5,16,"11 Rue des Sablons, 75116 Paris, France","6 Rue Fructidor, Saint-Ouen-sur-Seine, France",-86,test_2@test.com,FINISHED,16,69,
2023-04-19,Company B,P5CGvEK,22.5,20,"6 Rue Fructidor, Saint-Ouen-sur-Seine, France","11 Rue des Sablons, 75116 Paris, France",-61,test_2@test.com,FINISHED,14,39,
2023-04-19,Company C,ZN4BMZA,22.5,20,"11 Rue des Sablons, 75116 Paris, France","6 Rue Fructidor, Saint-Ouen-sur-Seine, France",100000,test_4@test.com,FINISHED,16,52,
2023-04-19,Company C,dVymG8b,22.5,20,"11 Rue des Sablons, 75116 Paris, France","61 Rue Henri Regnault, Courbevoie, France",-172,test_3@test.com,FINISHED,12,54,
2023-04-19,Company E,5jsc51j,38,27,"30 Rue de Paris, 93130 Noisy-le-Sec, France","53 Avenue Jean Jaurès, Le Bourget, France",-133,test_5@test.com,FINISHED,18,40,2
2023-04-19,Company E,8lnuShS,25,15,"11 Boulevard du Colonel Fabien, 94200 Ivry-sur-Seine, France","8 Rue de Rémusat, Paris, France",-477,test_1@test.com,FINISHED,30,42,
2023-04-19,Company E,PvQAsKx,38,27,"53 Avenue Jean Jaurès, Le Bourget, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-117,test_2@test.com,FINISHED,12,32,
2023-04-19,Company E,T4vhBkr,44,15,"26 Avenue Albert Einstein, Le Blanc-Mesnil, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-86,test_5@test.com,FINISHED,20,35,2
2023-04-19,Company E,phNslsw,44,30,"30 Rue de Paris, 93130 Noisy-le-Sec, France","26 Avenue Albert Einstein, Le Blanc-Mesnil, France",-147,test_1@test.com,FINISHED,20,40,
2023-04-19,Company F,Ha3F2uI,449,350,"Chemin des Crans, Bédoin, Provence-Alpes-Côte d'Azur, 84410, France","112 Route du Barp, Mios, Nouvelle-Aquitaine, 33380, France",-794,test_1@test.com,FINISHED,"1,298",380,
2023-04-19,Company F,6bp4S7a,60,30,"49 Rue Louis Blanc, Courbevoie, France","26 Allée des Frères Voisin, Paris, France",-64,test_4@test.com,FINISHED,24,46,
2023-04-19,Company F,U9GEgaK,518.38,366.38,"51 Rue Roger Salengro, Vénissieux, France","26 Allée des Frères Voisin, Paris, France",-233,test_4@test.com,FINISHED,992,460,
2023-04-19,Company F,L0QJkaa,81,50,"Zac De La Vatine, 76130 Mont-Saint-Aignan, France","363 Rue Denis Papin, Barentin, France",-149,test_3@test.com,FINISHED,34,45,
2023-04-19,Company F,ZJxQBxx,334,235.07,"4 Rue du Château de l'Éraudière, Nantes, France","20 Avenue André Prothin, Courbevoie, France",-32,test_1@test.com,FINISHED,896,323,
2023-04-19,Company G,cbGdtuX,393,320,"97 Allée Alexandre Borodine, Saint-Priest, France","9A Rue du Parc, Oberhausbergen, France",-231,test_2@test.com,FINISHED,940,442,
2023-04-19,Company G,KM3VdbN,75,55,"860 Route du Chaoure, Vignaux, France","5 Rue Seveso, 31150 Fenouillet, France",-157,test_4@test.com,FINISHED,74,95,
2023-04-19,Company G,ldw6Ef3,145,95,"6 Rue Jean de La Bruyère, Reims, France","1598 Rte de Quarante Sous, 78630 Orgeval, France",-71,test_4@test.com,FINISHED,390,207,
2023-04-19,Company G,ITpP4mw,45.65,20,"9 Av. Claude Vellefaux, 75010 Paris, France","126 Avenue Vauban, Livry-Gargan, France",100000,test_1@test.com,FINISHED,36,57,
2023-04-19,Company H,ey8wBrR,586,390,"5 Rte des Loges, 91290 La Norville, France","Traverse Decormis, Marseille, France","1,02",test_2@test.com,FINISHED,"1,646","1,26",
2023-04-19,Company H,tOXoQOr,352,318.55,"1193 Avenue de l'Europe, Villefranche-sur-Saône, France","37 Avenue Joffre, Gagny, France",-293,test_3@test.com,FINISHED,900,433,
2023-04-19,Company H,7stNfin,113,73,"Av. Aristide Briand, 76000 Rouen, France","6 Route de la Butte, Crouttes, France",-158,test_5@test.com,FINISHED,242,143,
2023-04-19,Company H,hb1QW5L,465,380,"1 Av. Louis Mouillard, 69500 Bron, France","20 Rue de Pont-Sainte-Maxence, Cinqueux, France",943,test_3@test.com,FINISHED,"1,13",16,
2023-04-19,Company H,Z1hzN9M,105,73,99 Boulevard Lefebvre 75015 Paris,"27 Avenue de Bir Hakeim, Noisy-le-Sec, France",-288,test_4@test.com,FINISHED,82,122,
2023-04-20,Company J,9MNgCJm,22.5,20,"6 Avenue Réaumur, Clamart, France","39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France",-8,test_3@test.com,FINISHED,14,22,
2023-04-20,Company J,NUgo9pk,58.95,33,"39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France","33 Rue des Vanesses, Villepinte, France",-96,test_5@test.com,FINISHED,86,116,
2023-04-20,Company J,E4AnarP,106,21,1 rue de l'ile de France 94460 Valenton,19 rue de vienne 75008  paris,-39,test_2@test.com,FINISHED,40,77,
2023-04-20,Company J,EMM2Kul,344,243.86,"7 Rue des Frères Salvez, 01500 Ambérieu-en-Bugey, France",280 avenue de verdun 83600  frejus,379,test_3@test.com,FINISHED,746,331,
2023-04-20,Company K,Flrsdt1,99,28,1 rue de l'ile de France 94460 Valenton,2 rue de boullay les troux 91470  les molieres,-251,test_1@test.com,FINISHED,44,108,
2023-04-20,Company K,H1TiQ6e,90,60,"131 Rue du 1er Mai, Nanterre, France","26 Allée des Frères Voisin, Paris, France",-43,test_4@test.com,FINISHED,34,53,
2023-04-20,Company K,arW9ryp,60,15,"9 Chemin de Bretagne, Issy-les-Moulineaux, France","26 Allée des Frères Voisin, Paris, France",-92,test_2@test.com,FINISHED,4,26,
2023-04-20,Company K,eTWX1Kq,60,30,"9 Chemin de Bretagne, Issy-les-Moulineaux, France","26 Allée des Frères Voisin, Paris, France",-104,test_5@test.com,FINISHED,4,30,0
2023-04-20,Company K,FtyBw4f,31.95,24,"74, route de la Reine 92100 Boulogne","174 Rue des Vignes, Nanterre, France",-212,test_3@test.com,FINISHED,18,48,
2023-04-20,Company C,bZ6wkqz,30,23,"174 Rue des Vignes, Nanterre, France","74, route de la Reine 92100 Boulogne",-139,test_5@test.com,FINISHED,18,55,0
2023-04-20,Company C,FGzHIX3,38,25,"12 Allée Notre-Dame-des-Anges, Le Raincy, France","30 Rue de Paris, 93130 Noisy-le-Sec, France",-148,test_5@test.com,FINISHED,16,38,0
2023-04-20,Company L - M,MQYsVDp,38,26,"30 Rue de Paris, 93130 Noisy-le-Sec, France","12 Allée Notre-Dame-des-Anges, Le Raincy, France",-96,test_5@test.com,FINISHED,16,45,0
2023-04-20,Company L - M,3s3IZ9M,22.5,20,"80 Quai Voltaire, Bezons, France","116 Avenue Henri Barbusse, 92700 Colombes, France",-96,test_4@test.com,FINISHED,12,56,
2023-04-20,Company L - M,EOLwWWJ,35,24,"10 Av. de Saint-Germain, 78560 Le Port-Marly, France","20 Rue Danton, Rueil-Malmaison, France",-99,test_3@test.com,FINISHED,18,41,
2023-04-20,Company N - O,DcJtdwQ,35,30,"4 Rue Albert de Dion, 44700 Orvault, France","3 Avenue Augustin-Louis Cauchy, Nantes, France",-194,test_4@test.com,FINISHED,22,24,
2023-04-20,Company N - O,EQZsChK,35,30,"3 Avenue Augustin-Louis Cauchy, Nantes, France","4 Rue Albert de Dion, 44700 Orvault, France",-145,test_3@test.com,FINISHED,20,24,
2023-04-20,Company P,G3yaWlk,35,30,"3 Avenue Augustin-Louis Cauchy, Nantes, France","4 Rue Albert de Dion, 44700 Orvault, France",-124,test_1@test.com,FINISHED,20,24,
2023-04-20,Company A,DdYmjZO,233,150,"9 Rue Gustave Eiffel, Castres, Occitanie, 81100, France","batiment e19 / 370 Avenue Alphonse Daudet, Salon-de-Provence, Provence-Alpes-Côte d'Azur, 13300, France",-517,test_2@test.com,FINISHED,594,243,
2023-04-20,Company A,GI83nnJ,551,489.51,"12 Rue Sainte-Barbe, Maxéville, Grand Est, 54320, France","2 Boulevard Euromediterranée Quai d'Arenc, Marseille, Provence-Alpes-Côte d'Azur, 13002, France",-265,test_4@test.com,FINISHED,"1,53",508,
2023-04-20,Company B,jMSo5ci,35,27,"8 Rue des Genévriers, 59118 Wambrechies, France","449 Av. de Dunkerque, 59160 Lille, France",-140,test_3@test.com,FINISHED,16,35,
2023-04-20,Company D,gOjReoo,229,194.99,"3 Impasse Ampère, Pusignan, France","34 Rue Henri Matisse, Lempdes, France",-100,test_3@test.com,FINISHED,422,205,
2023-04-20,Company D,627L6A5,380,166,"6 Rue des Peupliers, 92000 Nanterre, France","8 Rue Jules Ferry, Saint-Symphorien-d'Ozon, France",-244,test_5@test.com,FINISHED,"1,032",297,0
2023-04-20,Company F,qTREUTY,125,97,"5 Rue du Poirier Vert, Marigny-en-Orxois, France","1598 Rte de Quarante Sous, 78630 Orgeval, France",-229,test_3@test.com,FINISHED,250,127,
2023-04-20,Company F,5OATHU5,465,415.57,"Rue du Bois Barbier, 60880 Le Meux, France","431 Rue Aristide Bergès, Rives, France",-302,test_4@test.com,FINISHED,"1,282",18,
2023-04-21,Company F,061Lf3i,99,35,1 rue de l'ile de France 94460 Valenton,"15 rue jean jaures ,  fontenay aux roses , France",1,test_4@test.com,FINISHED,46,55,
2023-04-21,Company F,1EaLdVG,84,100,"16 residence les glaieuls,  billy sur aisne, France","Route de Picardie, 60190 Avrigny, France","4,087",test_5@test.com,FINISHED,132,"4,319",0
2023-04-21,Company E,BmgEpVt,281,290,"1 Avenue de l'Europe, 31620 Castelnau-d'Estrétefonds, France",2 rue la cafourche 17800  bougneau,"1,479",test_2@test.com,FINISHED,520,"1,328",
2023-04-21,Company E,ExWpgIa,127,81,"37 rue antoine de st exupéry,  mably, France","7 Rue des Frères Salvez, 01500 Ambérieu-en-Bugey, France","4,016",test_5@test.com,FINISHED,264,"4,021",
2023-04-21,Company E,Fyebd2F,51,46,"1260 rue de la république,  jaux, France","Route de Picardie, 60190 Avrigny, France",-51,test_4@test.com,FINISHED,34,110,
2023-04-21,Company E,5EsIzIe,55,40,"1 Rue du Parc des Vergers, Tigery, France","39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France",-84,test_3@test.com,FINISHED,84,54,
2023-04-21,Company E,ITRnylk,30,22,"74, route de la Reine 92100 Boulogne","2 Rue Adolphe Yvon, 75016 Paris, France",-107,test_1@test.com,FINISHED,10,33,
2023-04-21,Company G,OOpVQF8,30,21,"29 Rue Frémicourt, 75015 Paris, France","19 Rue de Dantzig, Paris, France",-163,test_3@test.com,FINISHED,6,17,
2023-04-21,Company G,VnG5iQO,30,21,"19 Rue de Dantzig, Paris, France","29 Rue Frémicourt, 75015 Paris, France",-99,test_1@test.com,FINISHED,6,33,
2023-04-21,Company H,282d32u,22.5,20,"42 Avenue Aristide Briand, Bagneux, France","15-17 Rue Barbès, 92120 Montrouge, France",-93,test_2@test.com,FINISHED,8,67,
2023-04-21,Company H,2zkVAgt,35,25,"10 Av. de Saint-Germain, 78560 Le Port-Marly, France","10 Rue d'Estienne d'Orves, Rueil-Malmaison, France",-108,test_5@test.com,FINISHED,18,38,
2023-04-21,Company J,GcciaRH,22.5,20,"15-17 Rue Barbès, 92120 Montrouge, France","43 Rue Servan, Paris, France",-208,test_3@test.com,FINISHED,26,41,
2023-04-21,Company C,U9FCUUV,22.5,15,"49 Boulevard Murat, Paris, France","116 Avenue Henri Barbusse, 92700 Colombes, France",-157,test_2@test.com,FINISHED,22,45,
2023-04-21,Company C,geXAV08,29.7,20,"1 Avenue Réaumur, Le Plessis-Robinson, France","80 Rue de Longchamp, 75016 Paris, France",195,test_1@test.com,FINISHED,34,78,
2023-04-21,Company B,uPhQ5T6,0,22,"4 Avenue Gabriel Péri, 78360 Montesson, France","18 Quai Charles de Gaulle, Carrières-sur-Seine, France",-68,test_1@test.com,FINISHED,16,41,
2023-04-21,Company B,jXMgo65,687,465,"Mougins, 06250, France","151 Boulevard National, Rueil-Malmaison, France","3,68",test_5@test.com,FINISHED,"1,828","4,322",
2023-04-21,Company B,iRDCfvV,485,330.01,"204 Rond-Point du Pont de Sèvres, Boulogne-Billancourt, France","4 Rue Alain Fournier, Toulouse, France",-365,test_1@test.com,FINISHED,"1,372",425,
2023-04-21,Company B,2IE2vUC,305,290,"29 Avenue du Breuchin, Raddon-et-Chapendu, France","1598 Rte de Quarante Sous, 78630 Orgeval, France","3,565",test_2@test.com,FINISHED,948,"4,052",
2023-04-21,Company B,GWEgeK9,465,275.25,"Rue Santos Dumont, 44860 Saint-Aignan-Grandlieu, France","33 Rue du Pré la Reine, Clermont-Ferrand, France",-43,test_3@test.com,FINISHED,948,978,
2023-04-21,Company I,wWKybyF,465,501.73,"Rue du Bois Barbier, 60880 Le Meux, France","3a Avenue du Mont Valier, 31410 Saint-Hilaire, France",823,test_3@test.com,FINISHED,"1,598","1,198",
2023-04-21,Company I,9kCkPwI,175,165.15,"14 Rte de Dhuizon, 41250 Neuvy, France","6 Rue Hector Berlioz, Aubergenville, France",-59,test_5@test.com,FINISHED,400,285,
2023-04-21,Company K,ERjQs82,180,175,"Av. Aristide Briand, 76000 Rouen, France","8 Rue Saint-Maixent, Brissy-Hamégicourt, France",-306,test_4@test.com,FINISHED,448,200,
2023-04-21,Company K,J2VOozf,179.87,90,"9 Av. Claude Vellefaux, 75010 Paris, France","183 Quai Voltaire, Dammarie-les-Lys, France",-12,test_2@test.com,FINISHED,252,276,
2023-04-21,Company L - M,GXYCekP,35,10,"4 Rue Albert de Dion, 44700 Orvault, France","3 Avenue Augustin-Louis Cauchy, Nantes, France",-162,test_1@test.com,FINISHED,22,22,
2023-04-21,Company L - M,8n4GAut,186,140,"26 Rue Alexandre Dumas, 02100 Saint-Quentin, France","11 Rue de Unna, Palaiseau, France",42,test_5@test.com,FINISHED,366,156,
2023-04-21,Company L - M,dRb6Fb1,105,70,99 Boulevard Lefebvre 75015 Paris,"40 Rue du Jura, Rungis, France",100000,test_4@test.com,FINISHED,56,119,
2023-04-24,Company L - M,3ApO7UY,58,40,"450 av. galillee,  aix en provence, France","SOMEDAT STVA, QUARTIER DU PARC DE L'ARTILLERIE, MIRAMAS, 13140, FRA",-62,test_5@test.com,FINISHED,88,221,
2023-04-24,Company N - O,4Tk96Pw,84,60,"6 chemin du pigonnet,  venelles, France","SOMEDAT STVA, QUARTIER DU PARC DE L'ARTILLERIE, MIRAMAS, 13140, FRA",-130,test_5@test.com,FINISHED,104,84,
2023-04-24,Company N - O,Agh6oJy,51,30,"74 rue balard,  paris, France",1 rue de l'ile de France 94460 Valenton,-154,test_3@test.com,FINISHED,48,54,
2023-04-24,Company N - O,7Ixkay5,617,410.61,"66 Route de Brest, Quimper, France","15 Route de Lyon, Saint-Priest, France",500,test_2@test.com,FINISHED,"1,716","1,299",5
2023-04-24,Company N - O,7U6n43z,334,220,"36 Rue Gustave Eiffel, 77220 Gretz-Armainvilliers, France","1 Rue du Petit Bocage, Essarts en Bocage, France",-291,test_4@test.com,FINISHED,882,387,
2023-04-24,Company N - O,BP0VIay,611,594.1,"95 Avenue des Logissons, 13770 Venelles, France","10 Rue Marguerite Long, Paris, France",555,test_4@test.com,FINISHED,"1,686","1,536",
2023-04-24,Company P,KOxWj7j,22.5,20,"2 Allée Louis David, Rueil-Malmaison, France","39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France",-131,test_2@test.com,FINISHED,38,62,5
2023-04-24,Company Q - R,SZ6j7bE,22.5,20,"39 Avenue Louis Breguet, 78140 Vélizy-Villacoublay, France","25 Rue Ernest Renan, Meudon, France",-142,test_2@test.com,FINISHED,14,38,5
